Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"J Ogden","Simplifying prescribing data: OpenPrescribing two years on. Prescriber. 2018; 29 (10): 31–34",,"Publisher Full Text","","","https://scholar.google.com/scholar?cites=14578780217873938034&as_sdt=2005&sciodt=0,5&hl=en",45,"2025-06-30 21:06:11","CITATION","","","",,,,,2,0.00,2,1,,"","","https://scholar.google.com/scholar?q=related:cjbe0F07UsoJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
4,"EBM DataLab","University of Oxford. OpenPrescribing. net. 2017",,"","","","https://scholar.google.com/scholar?cites=6851241134715962734&as_sdt=2005&sciodt=0,5&hl=en",50,"2025-06-30 21:06:11","CITATION","","","",,,,,4,0.00,4,1,,"","","https://scholar.google.com/scholar?q=related:bgVKOYN_FF8J:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
2,"A Walker","Measuring the impact of OpenPrescribing on real world prescribing. Open Science Framework; 2018 Feb 12 [cited 2018 Apr 11]",,"","","","https://scholar.google.com/scholar?cites=3214945956709105684&as_sdt=2005&sciodt=0,5&hl=en",53,"2025-06-30 21:06:11","CITATION","","","",,,,,2,0.00,2,1,,"","","https://scholar.google.com/scholar?q=related:FIC5aVDInSwJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
2,"EBM DataLab","OpenPrescribing. net, EBM DataLab, University of Oxford",,"","","","https://scholar.google.com/scholar?cites=3060363046519461971&as_sdt=2005&sciodt=0,5&hl=en",55,"2025-06-30 21:06:11","CITATION","","","",,,,,2,0.00,2,1,,"","","https://scholar.google.com/scholar?q=related:U1iG7_mXeCoJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
2,"DataLab","BNF 10.1. 1: non-steroidal anti-inflammatory drugs| primary care prescriptions. OpenPrescribing",,"","","","https://scholar.google.com/scholar?cites=4228456708095514254&as_sdt=2005&sciodt=0,5&hl=en",59,"2025-06-30 21:06:11","CITATION","","","",,,,,2,0.00,2,1,,"","","https://scholar.google.com/scholar?q=related:jpYmAvl-rjoJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
3,"BNF All","sections| OpenPrescribing",,"","","","https://scholar.google.com/scholar?cites=5807688879137462659&as_sdt=2005&sciodt=0,5&hl=en",62,"2025-06-30 21:06:11","CITATION","","","",,,,,3,0.00,3,1,,"","","https://scholar.google.com/scholar?q=related:g5n53kMOmVAJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
2,"EBM DataLab","OpenPrescribing data",,"University of Oxford","","","https://scholar.google.com/scholar?cites=7274131038209348900&as_sdt=2005&sciodt=0,5&hl=en",67,"2025-06-30 21:06:11","CITATION","","","",,,,,2,0.00,2,1,,"","","https://scholar.google.com/scholar?q=related:JJUcpqPn8mQJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
2,"OpenPrescribing. net","Propranolol hydrochloride (0204000R0)",,"","","","https://scholar.google.com/scholar?cites=14458903308340230237&as_sdt=2005&sciodt=0,5&hl=en",73,"2025-06-30 21:06:11","CITATION","","","",,,,,2,0.00,2,1,,"","","https://scholar.google.com/scholar?q=related:XfhWz_NXqMgJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"HJ Curtis, AJ Walker, R Croker, S Bacon, R Perera…","3.1. BACKGROUND AND RATIONALE",,"scholar.archive.org","","https://scholar.archive.org/work/hygn23hi7jdbhlux7tn7ux4dnu/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/15658574/Nimodipineprotocolfinalpublicationversion1.pdf","",79,"2025-06-30 21:06:11","PDF","","","",,,,,0,0.00,0,6,,"… As part of our programme of work on “audit and feedback” using our OpenPrescribing.net tools, we … with a link to their practice dashboard on OpenPrescribing.net, with a slight difference …","https://scholar.archive.org/work/hygn23hi7jdbhlux7tn7ux4dnu/access/wayback/https://s3-eu-west-1.amazonaws.com/pfigshare-u-files/15658574/Nimodipineprotocolfinalpublicationversion1.pdf","https://scholar.google.com/scholar?q=related:fpTohR-MgWYJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
0,"B Brown, L Smeeth, T van Staa, I Buchan","A new conversation of primary care fuelled by data",,"researchonline.lshtm.ac.uk","","https://researchonline.lshtm.ac.uk/3468582/1/bgp_editorial_v6.docx","",109,"2025-06-30 21:06:11","DOC","","","",,,,,0,0.00,0,4,,"… Research One in the UK; the NIVEL Primary Care Database in the Netherlands; or SIDIAP in Spain), and across populations to support service development (eg audit, OpenPrescribing. …","https://researchonline.lshtm.ac.uk/3468582/1/bgp_editorial_v6.docx","https://scholar.google.com/scholar?q=related:8IprMvEnEAsJ:scholar.google.com/&scioq=%22openprescribing%22&hl=en&as_sdt=0,5"
