Authors,Title,Source,Year,Volume,Issue,Pages,DOI,Citations,core_paper
Richards TC; Heppenstall A; Oldroyd RA; Barr V; Beecham R,Using OpenPrescribing.net to evaluate neighbourhood-level prescribing of inhalers for asthma and COPD.,Sci Rep,2025,15,1,18089,doi: 10.1038/s41598-025-02969-x,0,0
Romeikat NL; Sullivan F; Daly F; Kong W,The Importance of Comorbidities at Baseline and 5-Year Follow-Up in a Lung Cancer Biomarker Screening Trial.,J Clin Med,2025,14,6,,doi: 10.3390/jcm14062116,0,0
Dhruve H; d'Ancona G; Holmes S; Dhariwal J; Nanzer AM; Jackson DJ,Prescribing Patterns and Treatment Adherence in Patients with Asthma During the COVID-19 Pandemic.,J Allergy Clin Immunol Pract,2022,10,1,100-107.e2,doi: 10.1016/j.jaip.2021.09.032,21,0
MacKenna B; Bacon S; Walker AJ; Curtis HJ; Croker R; Goldacre B,"Impact of Electronic Health Record Interface Design on Unsafe Prescribing of Ciclosporin, Tacrolimus, and Diltiazem: Cohort Study in English National Health Service Primary Care.",J Med Internet Res,2020,22,10,e17003,doi: 10.2196/17003,8,1
Golder S; Smith K; O'Connor K; Gross R; Hennessy S; Gonzalez-Hernandez G,"A Comparative View of Reported Adverse Effects of Statins in Social Media, Regulatory Data, Drug Information Databases and Systematic Reviews.",Drug Saf,2021,44,2,167-179,doi: 10.1007/s40264-020-00998-1,10,0
Hopcroft LE; Massey J; Curtis HJ; Mackenna B; Croker R; Brown AD; O'Dwyer T; Macdonald O; Evans D; Inglesby P; Bacon SC; Goldacre B; Walker AJ,Data-Driven Identification of Unusual Prescribing Behavior: Analysis and Use of an Interactive Data Tool Using 6 Months of Primary Care Data From 6500 Practices in England.,JMIR Med Inform,2023,11,,e44237,doi: 10.2196/44237,0,1
Tan R; Murphy A; Brightling C; Shaw D,Can we measure whether asthma guidelines lead to improved care?,NPJ Prim Care Respir Med,2024,34,1,16,doi: 10.1038/s41533-024-00379-6,0,0
Ibrahim ARN; Orayj KM,Impact of ADA Guidelines and Medication Shortage on GLP-1 Receptor Agonists Prescribing Trends in the UK: A Time-Series Analysis with Country-Specific Insights.,J Clin Med,2024,13,20,,doi: 10.3390/jcm13206256,0,0
Barrett R,Calcineurin inhibitors and related medicines: a cohort study examining England's primary care prescription changes during the COVID-19 pandemic (January 2019 to March 2021).,Daru,2022,30,1,59-66,doi: 10.1007/s40199-021-00431-7,1,0
Cockburn N; Hammond B; Gani I; Cusworth S; Acharya A; Gokhale K; Thayakaran R; Crowe F; Minhas S; Smith WP; Taylor B; Nirantharakumar K; Chandan JS,Automating incidence and prevalence analysis in open cohorts.,BMC Med Res Methodol,2024,24,1,144,doi: 10.1186/s12874-024-02266-7,0,0
Gibson J; Kontopantelis E; Sutton M; Boaz A; Little P; Mallen C; McManus R; Park S; Usher-Smith J; Bower P,Relationship between research activity and the performance of English general practices: cross-sectional and longitudinal analyses.,Br J Gen Pract,2025,75,750,e50-e56,doi: 10.3399/BJGP.2024.0111,0,0
Croker R; Smyth D; Walker AJ; Goldacre B,The clinician impact and financial cost to the NHS of litigation over pregabalin: a cohort study in English primary care.,BMJ Open,2018,8,6,e022416,doi: 10.1136/bmjopen-2018-022416,2,1
Lalji HM; McGrogan A; Bailey SJ,An analysis of antidepressant prescribing trends in England 2015-2019.,J Affect Disord Rep,2021,6,,100205,doi: 10.1016/j.jadr.2021.100205,19,0
Chiedozie C; Murphy ME; Fahey T; Moriarty F,How many medications do doctors in primary care use? An observational study of the DU90% indicator in primary care in England.,BMJ Open,2021,11,3,e043049,doi: 10.1136/bmjopen-2020-043049,2,0
Tian J; McGrogan A; Jones MD,"Temporal and geographical variation in low carbon inhaler dispensing in England, 2016 to 2021: an ecological study.",J R Soc Med,2023,116,2,65-75,doi: 10.1177/01410768221133566,4,0
MacKenna B; Curtis HJ; Walker AJ; Croker R; Bacon S; Goldacre B,Trends and variation in unsafe prescribing of methotrexate: a cohort study in English NHS primary care.,Br J Gen Pract,2020,70,696,e481-e488,doi: 10.3399/bjgp20X710993,7,1
van den Akker OR; Thibault RT; Ioannidis JPA; Schorr SG; Strech D,Transparency in the secondary use of health data: assessing the status quo of guidance and best practices.,R Soc Open Sci,2025,12,3,241364,doi: 10.1098/rsos.241364,0,0
Saad H; Sinclair M; Bunting B,"Maternal sociodemographic characteristics, early pregnancy behaviours, and livebirth outcomes as congenital heart defects risk factors - Northern Ireland 2010-2014.",BMC Pregnancy Childbirth,2021,21,1,759,doi: 10.1186/s12884-021-04223-4,2,0
Matharu K; Chana K; Ferro CJ; Jones AM,Polypharmacology of clinical sodium glucose co-transport protein 2 inhibitors and relationship to suspected adverse drug reactions.,Pharmacol Res Perspect,2021,9,5,e00867,doi: 10.1002/prp2.867,4,0
Hopcroft LE; Curtis HJ; Croker R; Pretis F; Inglesby P; Evans D; Bacon S; Goldacre B; Walker AJ; MacKenna B,Data-Driven Identification of Potentially Successful Intervention Implementations Using 5 Years of Opioid Prescribing Data: Retrospective Database Study.,JMIR Public Health Surveill,2024,10,,e51323,doi: 10.2196/51323,0,1
Khan A; Kurmi O; Lowrie R; Khanal S; Paudyal V,Medicines prescribing for homeless persons: analysis of prescription data from specialist homelessness general practices.,Int J Clin Pharm,2022,44,3,717-724,doi: 10.1007/s11096-022-01399-3,2,0
Wilkinson S; Douglas I; Stirnadel-Farrant H; Fogarty D; Pokrajac A; Smeeth L; Tomlinson L,Changing use of antidiabetic drugs in the UK: trends in prescribing 2000-2017.,BMJ Open,2018,8,7,e022768,doi: 10.1136/bmjopen-2018-022768,44,0
Bacon S; Goldacre B,Barriers to Working With National Health Service England's Open Data.,J Med Internet Res,2020,22,1,e15603,doi: 10.2196/15603,4,0
de Lusignan S; Joy M; Sherlock J; Tripathy M; van Hecke O; Gbinigie K; Williams J; Butler C; Hobbs FR,PRINCIPLE trial demonstrates scope for in-pandemic improvement in primary care antibiotic stewardship: a retrospective sentinel network cohort study.,BJGP Open,2021,5,5,,pii: BJGPO.2021.0087. doi: 10.3399/BJGPO.2021.0087,13,0
Curtis HJ; Goldacre B,OpenPrescribing: normalised data and software tool to research trends in English NHS primary care prescribing 1998-2016.,BMJ Open,2018,8,2,e019921,doi: 10.1136/bmjopen-2017-019921,29,1
Chalitsios CV; Shaw DE; McKeever TM,A retrospective database study of oral corticosteroid and bisphosphonate prescribing patterns in England.,NPJ Prim Care Respir Med,2020,30,1,5,doi: 10.1038/s41533-020-0162-6,9,0
MacKenna B; Brown AD; Croker R; Walker AJ; Goldacre B; Tsiachristas A; Evans D; Inglesby P; Bacon SC; Curtis HJ,Variation in prescription duration for long term conditions: a cohort study in English NHS primary care using OpenPrescribing.,Br J Gen Pract,2025,,,,pii: BJGP.2024.0326. doi: 10.3399/BJGP.2024.0326,0,1
Allison R; Lecky DM; Beech E; Costelloe C; Ashiru-Oredope D; Owens R; McNulty CAM,What antimicrobial stewardship strategies do NHS commissioning organizations implement in primary care in England?,JAC Antimicrob Resist,2020,2,2,dlaa020,doi: 10.1093/jacamr/dlaa020,9,0
